,t,a,e,I,lon_asc_node,true_anom,arg_peri
172,62823000.0,23.59182019200599,0.9997693611400816,0.30282765168551984,1.47607169867073,3.314977454311909e-05,-0.057024850951645924
173,63188250.0,22.452607742114637,0.9997568247802652,0.3030865025236488,1.477450496063292,4.8656904827885804e-05,-0.0359022690384552
174,63553500.0,20.843889002766222,0.9997361604571227,0.30192026619821455,1.4776752189652285,6.36465918939666e-05,-0.007706168308352948
175,63918750.0,18.943796526047354,0.9997102593550806,0.3024943861237062,1.479470737809856,7.251816456327676e-05,0.026192177354669298
176,64284000.0,16.976522125676187,0.9996785213669959,0.3029795346591232,1.4793782075352435,6.726002239656528e-05,0.062085282506826114
177,64649250.0,15.480152222235688,0.9996463863013456,0.3024314752222787,1.4834034135360308,4.257783642440112e-05,0.08618052811595102
178,65014500.0,14.88759513225408,0.9996302033028455,0.30253992882137276,1.4850499225302047,3.6826214204330052e-06,0.08381871082395256
179,65379750.0,15.199688386885573,0.9996374950309551,0.30216155207239803,1.4844247637148804,3.19584989755346e-05,0.05794844746786949
180,65745000.0,16.04592983361417,0.999658792504786,0.30284163981338974,1.4868739263389807,5.561985190454564e-05,0.025248529061195516
181,66110250.0,17.036963353361948,0.999678963664596,0.3031677087079833,1.4878973200968182,6.80243996033844e-05,-0.0024845682787196293
182,66475500.0,17.996418435206337,0.9996935497661384,0.30205252091077656,1.4896742216715162,7.291107098053884e-05,-0.023455405158086265
183,66840750.0,18.786139846981786,0.9997063150603728,0.3025160475053638,1.490907197493365,7.24012764970389e-05,-0.03817199598734048
184,67206000.0,19.491463382942477,0.9997189094561322,0.30319521366238067,1.4911375383389411,7.109827192901456e-05,-0.04965239947633059
185,67571250.0,20.223269869546503,0.9997279598750385,0.3023196076665537,1.494700469304595,6.94853252605021e-05,-0.059543401720017805
186,67936500.0,20.930523197891468,0.9997352646905429,0.3022760770345317,1.496219598668697,6.496740582870607e-05,-0.06800509915238397
187,68301750.0,21.647045035265066,0.9997460977301253,0.3029280291200764,1.4946682119094994,5.87236733740716e-05,-0.0756245962815117
188,68667000.0,22.40112522401982,0.9997557583591156,0.30249357909517777,1.4990485214284444,5.231875128284027e-05,-0.08189109537236627
189,69032250.0,23.109849286591103,0.9997610819581935,0.3023963956653364,1.5034845844087483,4.356760453475562e-05,-0.08650458525804577
190,69397500.0,23.781525241357564,0.9997685434479233,0.30264726911012735,1.5003434697429152,3.0188518711648442e-05,-0.08890584978868361
191,69762750.0,24.266630359675755,0.9997756774360136,0.3026549539639553,1.5032958822562978,1.5638723590377203e-05,-0.08761407935025697
192,70128000.0,24.431213699889216,0.9997765323587655,0.3030610712529966,1.5085766846987902,4.6060412742075813e-08,-0.08177828902822827
193,70493250.0,24.160776923847088,0.9997721306614753,0.30244085783474317,1.5061414431712068,1.821372881911913e-05,-0.07054860612893683
194,70858500.0,23.380736521857955,0.9997659166553075,0.3022636510691686,1.5071981181294754,3.702191885311135e-05,-0.053530165993208145
195,71223750.0,22.106553367384702,0.9997538504089999,0.3034519444464449,1.5105499370567976,5.286035093618109e-05,-0.030420331580581373
196,71589000.0,20.474382010595154,0.9997320723025384,0.30253877258577067,1.5114654612779115,6.544687255145253e-05,-0.0013931934350669354
197,71954250.0,18.629829347995493,0.9997040660145884,0.302067037334374,1.51358225045376,7.22599680011941e-05,0.03165155367487377
198,72319500.0,16.89584592746765,0.9996751842601455,0.3029751877836967,1.5130437974706017,6.707563018102445e-05,0.06356482185391352
199,72684750.0,15.60656461971478,0.9996499592010869,0.3027522225006973,1.5151726878814695,4.650648523105435e-05,0.08474206032271694
200,73050000.0,14.988929274682148,0.999633867031775,0.30277887628230304,1.5193602904331485,1.8219211578398203e-05,0.08822262432130212
201,73415250.0,14.921562775329646,0.9996303833939282,0.3026215988380296,1.5181526278443325,9.744697934573333e-06,0.07684660288737481
202,73780500.0,15.216126251238855,0.9996389170402328,0.30250563663989993,1.5189131546116548,3.199117957542084e-05,0.057957604544429095
203,74145750.0,15.705258611454889,0.9996513403308382,0.3032303992325639,1.521636968927633,4.889205873344993e-05,0.03782278121326512
204,74511000.0,16.313055146317264,0.9996621865860175,0.30261908933800696,1.5223109594311575,6.096455267585103e-05,0.01809683009017526
205,74876250.0,16.937952339533982,0.9996732067369256,0.3019995072691446,1.5239693478782075,6.703182021237034e-05,0.0009199926292833884
206,75241500.0,17.591580678966263,0.999687576567857,0.30312722513263923,1.525433400375349,7.047404601650054e-05,-0.014718017094268952
207,75606750.0,18.41309067419427,0.99970185897088,0.30290891523501734,1.527104281638149,7.334542623126215e-05,-0.03132677949403837
208,75972000.0,19.36022242915331,0.9997144226283532,0.3020499294825021,1.530212106005752,7.24473048012046e-05,-0.04738062894162856
209,76337250.0,20.4382579202758,0.99973065123427,0.30295995658348374,1.5295548624430753,6.670893246350135e-05,-0.06276856819505759
210,76702500.0,21.60463553164815,0.999747605798246,0.3031000135094601,1.5306421763157818,5.8605349282576005e-05,-0.0757664564189921
211,77067750.0,22.70485581190916,0.9997589859000557,0.30262344773765976,1.5366798370503392,4.773651136189104e-05,-0.08465435503878548
212,77433000.0,23.660711465847847,0.9997671164720667,0.3028415564896832,1.5351720202338108,3.1841054217654674e-05,-0.08890525803410826
213,77798250.0,24.256657319422857,0.9997745086727923,0.30269427659305104,1.5338994676492517,1.3737756712232321e-05,-0.08744440509585091
214,78163500.0,24.407577077735198,0.9997771070051188,0.30309820284300837,1.5402612885299762,3.681704020501584e-06,-0.08045127053937286
215,78528750.0,24.032941746095535,0.9997712250703121,0.30303945415644123,1.5408900505802314,2.1699645833809622e-05,-0.06775415542859707
216,78894000.0,23.16894758042636,0.9997619361867998,0.3021263268831161,1.5398073346920613,4.0455371556785784e-05,-0.04940702142100242
217,79259250.0,21.885441976149977,0.9997499724138651,0.3030181247884871,1.54308759682053,5.6126044912762987e-05,-0.02627675862523166
218,79624500.0,20.375456275983687,0.9997318358658733,0.3035185414226847,1.544881189240249,6.611385882864323e-05,0.0005046316666261323
219,79989750.0,18.799352153853462,0.9997070741431248,0.3024199725961257,1.5468191173733765,7.164894960537001e-05,0.028823513609796514
220,80355000.0,17.391412501206517,0.9996831212660015,0.3028677632330247,1.5475286107715225,7.024014324292179e-05,0.05478867648561551
221,80720250.0,16.28953280995915,0.9996640126151634,0.3033248480672915,1.5469568906997397,6.030247426717982e-05,0.0745508705284104
222,81085500.0,15.587079170058411,0.9996482974428339,0.30294921611909353,1.551531831745936,4.539586013064672e-05,0.08536412331139777
223,81450750.0,15.145484124669219,0.9996355878592995,0.3030011713353475,1.552575950955011,2.8333782614111447e-05,0.0891191006514139
224,81816000.0,14.934746349915569,0.9996306360451197,0.30286817365305196,1.550992030414807,1.0887486517190315e-05,0.0863011947990466
225,82181250.0,14.921887619621698,0.9996324769800728,0.30309383238027165,1.5544235416287138,7.767555576331533e-06,0.0781765794148657
226,82546500.0,15.107686429934276,0.9996356440677081,0.30324333962899364,1.556717958095915,2.6976382177145298e-05,0.06461840712125835
227,82911750.0,15.490309757645175,0.9996427724323697,0.3025421722174127,1.5568766593616647,4.324113577845396e-05,0.04651741835487446
228,83277000.0,16.08634258149651,0.9996580144537779,0.3029620149723433,1.5593413635600437,5.612624882608744e-05,0.024970490007085386
229,83642250.0,17.027795088972912,0.9996787448696359,0.3037133950128534,1.5611835998416077,6.769077430466795e-05,-0.0017859886328614022
230,84007500.0,18.28873457474322,0.9996999666313,0.30292566533528686,1.5631576281816255,7.306093515058754e-05,-0.029565250649840478
231,84372750.0,19.800319092862765,0.9997218055932519,0.3028133419176179,1.5651186177232232,6.954565154907057e-05,-0.05469636573047318
232,84738000.0,21.326895808010576,0.999743846657773,0.3036779828430953,1.5638474542188825,5.95513784427421e-05,-0.07371065425905644
